,body,cites_papers
104,"New 3D Jehol bird with egg follicles  Linyiornis amoena, 'beautiful bird from Linyi'  China ",[4980643]
105,A new  Jehol  enantiornithine  bird with three-dimensional preservation and ovarian follicles,[4980643]
106,A new Jehol enantiornithine bird with three-dimensional preservation and ovarian follicles,[4980643]
107,"Amazing research    by Currie and  colleagues of  ! Also check out the new   in Wembley, Alberta","[4980975,4980975]"
108,Such anticipation  Much satisfaction  So Chasmosaurus,[4980975]
109,Juvenile chasmosaur paper is out in JVP  Great specimen!,[4980975]
110,Baby Chasmosaurus now out in JVP - what a fossil! A huge leap forward in our understanding of dino ontogeny,[4980975]
111,"Paper about the new baby Chasmosaurs, revealing horned dinosaur growth has been published in JVP",[4980975]
112,Amazing research    by Currie and  colleagues of  ! Also check out the new   in,[4980975]
113,"A juvenile chasmosaurine ceratopsid from Dinosaur Park Formation, Alberta, Canada    - v",[4980975]
114,This is cute!  dinosaur  specimen,[4980975]
115,Another horribilis news for Creatards  Another evolution gap has been filled by a Canadian fossil of horned Dinosaur,[4980975]
116,"A juvenile chasmosaurine ceratopsid  Dinosauria, Ornithischia  via",[4980975]
117,New Currie et al  JVP paper on beautiful baby horned dinosaur available for free   dinosaurs  fossils,[4980975]
118,"A juvenile chasmosaurine ceratopsid  Dinosauria, Ornithischia  from the Dinosaur Park Formation, Alberta, Canada",[4980975]
119,Read the full research here  free   h/t Journal of Vertebrate Paleontology and,[4980975]
120,That baby Chasmosaurus really is a beautiful specimen,[4980975]
121,Glad to see this little beauty is out today   babydinosaur,[4980975]
122,Baby Chasmosaurus from Dinosaur Provincial Park to brighten our  FossilFriday,[4980975]
123,"Eotrachodon, primitive hadrosaurid from southeastern North America and the origin and  early evolution of duck-bills",[4989111]
124,New hadrosaur from  Alabama is one of the oldest  Is Appalachia their ancestral homeland?,[4989111]
125,"Eotrachodon, primitive hadrosaurid from southeastern North America and the origin and  early evolution of duck-bills ",[4989111]
126,Primitive hadrosaurid from S E  N  America and  origin and  early evolution of duck-bills'    - v,[4989111]
127,primitive hadrosaurid from southeastern North America and the origin and early evolution of duck-billed dinosaurs,[4989111]
128,Primitive hadrosaurid from southeastern North America and the origin and early evolution of duck-billed dinosaurs,[4989111]
129,New hadrosaur from  Alabama is one of the oldest  Is Appalachia their ancestral homeland? ,[4989111]
130,A primitive hadrosaurid from southeastern North America and the origin and early evolution of duck-billed dinosaurs,[4989111]
131,"Wow  Assessment of ancient DNA preservation in HolocenePleistocene fossil bone Naracoorte Caves, South Australia",[4989581]
132,"Wow  Assessment of ancient DNA preservation in HolocenePleistocene fossil bone Naracoorte Caves, South Australia ",[4989581]
133,An assessment of aDNA preservation in HolocenePleistocene fossil bone excavated from       Naracoorte Caves,[4989581]
134,ancientDNA preservation in HolocenePleistocene  fossil bone  from Naracoorte Caves S  Australia,[4989581]
