,body,cites_papers
689,Oceanography OS  Seasonal renewal time variability in the Curonian Lagoon caused by atmospheric and hydrographica,[6153158]
690,OS Wave extreme characterization using self-organizing maps,[6155707]
691,Oceanography OS  Wave extreme characterization using self-organizing maps,[6155707]
692,"OS River bulge evolution and dynamics in a non-tidal sea  Daugava River plume in the Gulf of Riga, Baltic Sea",[6156385]
693,"Oceanography OS  River bulge evolution and dynamics in a non-tidal sea  Daugava River plume in the Gulf of Riga,",[6156385]
694,"We named it Mupashi migrator, which translates to wandering spirit/ancestor   PDF here",[6162141]
695,1st karenitid from U  Permian of Gondwana and  biogeography of P-T therocephalians    - v,[6162141]
696,Changes  in  the  geometry  and  strength  of  the  Atlantic  Meridional  Overturning Circulation during the l,[6162487]
697,CP Changes  in  the  geometry  and  strength  of  the  Atlantic  Meridional  Overturning Circulation during the l,[6162487]
698,New paper  Changes  in  the  geometry  and  strength  of  the  Atlantic  Meridional  Overturning Circulation d,[6162487]
699,Changes in the geometry and strength of the Atlantic Meridional Overturning Circulation during the last glacial,[6162487]
700,"Changes in geometry and  strength of AMOC during the last glacial  2050 ka  - Burckle et al , Clim  Past Disc",[6162487]
701,"""Changes  in  the  geometry  and  strength  of  the  AMOC during the last glacial""",[6162487]
702,Congreve and  Lamsdell  Palaeontological data - Equal weighting vs Implied weighting,[6163371]
703,Implied weighting in palaeontological datasets = propagating errors,[6163371]
704,New paper tests effects of implied weighting on fossil phylogenetic data  FossilFriday,[6163371]
705,New equal vs implied weights paper acknowledging videogames!    FossilFriday,[6163371]
706,Is the Mk model of evolution more similar to parsimony analysis with equal weights or implied weights?,[6163371]
707,Implied weighting and its utility in palaeontological datasets  a stud,"[6163371,6163371]"
708,Implied weighting and its utility in palaeontological datasets  a study using modelled phylogenetic matrices,[6163371]
709,New paper on implied weighting in parsimony phylogenetic analyses!,[6163371]
710,Great new study on combining geometric morphometrics and finite element analysis with evolutionary modeling,[6163628]
711,Combining geometric morphometrics and  finite element analysis with evolutionary modelling,[6163628]
712,Potentially a very powerful technique  Combining GM and  FEA with evolutionary modeling  toward a synthesis,[6163628]
713,Combining geometric morphometrics and  finite element analysis with evolutionary modeling  OA  - v,[6163628]
714,Combining geometric morphometrics and finite element analysis with evolutionary modeling  toward a synthesis,[6163628]
715,Forward thinking methods in paleo  Combining GMM and FEA with evolutionary modeling,[6163628]
716,Combining geometric morphometrics and finite element analysis with evolutionary modeling  towards a synthesis  oa,[6163628]
717,Combining geometric morphometrics and finite element analysis with evolutionary modeling  towards a synthesis,[6163628]
718,v/  Combining Geometric Morphometrics and Finite Element Analysis with Evolutionary Modeling,[6163628]
719,Combining Geometric Morphometrics and Finite Element Analysis with Evolutionary Modeling  Towards a Synthesis,[6163628]
720,Oceanography OS  Turbulence observations in the Gulf of Trieste under moderate wind forcing and different water c,[6163914]
721,OS Turbulence observations in the Gulf of Trieste under moderate wind forcing and different water column stratifi,[6163914]
722,"5Ka of vegetation and  climate change in S  Namib Desert, Pella, S  Africa  ",[6179936]
723,"50K years of vegetation and climate change in the southern Namib Desert, SA by",[6179936]
724,Some CODIF science!  MISTjournalclub,[6185714]
725,A new late Quaternary palaeohydrological record from humid tropics of N E  Australia  ,[6190436]
726,A new late Quaternary palaeohydrological record from the humid tropics of northeastern Australia,[6190436]
727,Deep-sea benthic foram turnover across E  Eocene hyperthermal events at N E  Atlantic DSDP Site 550  ,[6190437]
728,Secular changes in environmental stresses and  eukaryotes during E  Triassic to E  M  Triassic  ,[6190438]
729,Secular changes in environmental stresses and eukaryotes during the Early Triassic to the early,[6190438]
730,OS Volume transport and mixing of the Faroe Bank Channel overflow from one year of moored measurements,[6191662]
731,Oceanography OS  Volume transport and mixing of the Faroe Bank Channel overflow from one year of moored measureme,[6191662]
732,'s first published paper   Reconnection at Saturn  phd  nice  saturn  properscientist  jgr,[6191844]
733,Coral 18O ev for Pacific Ocean mediated decadal var in Panama ITCZ rainfall back to early 1700s Brenner P3  j,[6193724]
734,"Palynomorphs of Fezouata Shale  Lower Ordovician, Morocco   age and  environmental constraints of Fezouata Biota  ",[6196263]
735,"P-T in Lower Yangtze, S E  China  new deep-water archive based on organic C isotopes and  U-Pb geochronology  ",[6196265]
736,"Evidence for palaeo-wildfire in the Late Permian palaeotropics  charcoal from the Parnaba Basin, Brazil  ",[6196266]
737,Evidence of Wildfires Lopingian Permian Brazil Suggest a Minimum Oxygen Paleoatmospheric Level Content Higher Than,[6196266]
738,The Contributions of David Malcolm Raup  24 April 1933-9 July 2015,[6199005]
739,"New  Otoliths from Eocene of Seymour Island, Antarctica, reveal dominance of gadiform fishes",[6199732]
740,"FossilFriday Otoliths  'earstones'  of Eocene teleost fish, from Seymour Island, Antarctica",[6199732]
741,"FossilFriday Otoliths  'earstones'  of Eocene teleost fish, from Seymour Island, Antarctica ht",[6199732]
742,"Otoliths from Eocene of Seymour Island, Antarctica, reveal dominance of gadiform fishes  OA  - v",[6199732]
743,The first record of fossil teleostean otoliths from he Eocene of Seymour Island  Antarctica is reported,[6199732]
744,Have you seen all the new Antarctic otolith taxa? THEY JUST KEEP COMING,[6199732]
745,"otoliths from the Eocene of Seymour Island, Antarctica, reveal dominance of gadiform fishes",[6199732]
746,"FossilFriday Eocene teleostean otoliths from Seymour Island, Antarctica",[6199732]
747,CP An investigation of carbon cycle dynamics since the Last Glacial Maximum  Complex interactions between the ter,[6203296]
748,An investigation of carbon cycle dynamics since the Last Glacial Maximum  Complex interactions between the,[6203296]
749,An investigation of carbon cycle dynamics since the Last Glacial Maximum  Complex interactions between the ter,[6203296]
750,New paper  An investigation of carbon cycle dynamics since the Last Glacial Maximum  Complex interactions betw,[6203296]
751,CP Disentangling the effect of ocean temperatures and isotopic content on the oxygen  isotope signals in the Nor,[6203297]
752,Disentangling the effect of ocean temperatures and isotopic content on the oxygen  isotope signals in the North,[6203297]
753,New paper  Disentangling the effect of ocean temperatures and isotopic content on the oxygen  isotope signals,[6203297]
754,Disentangling T and d18Osw in the N Atlantic during Heinrich 1 - Interesting!,[6203297]
755,"OS Aragonite saturation states and pH in western Norway fjords  seasonal cycles and controlling factors, 20052009",[6203639]
756,Oceanography OS  Aragonite saturation states and pH in western Norway fjords  seasonal cycles and controlling fac,[6203639]
757,"Reassessing the earliest  Oligocene  vertebrate assemblage of Monteviale  Vicenza,  Italy","[6204280,6204280]"
758,"New online  Reassessing the earliest Oligocene vertebrate assemblage of Monteviale, Italy",[6204280]
759,"New online  Reassessing the earliest Oligocene vertebrate assemblage of Monteviale, Italy ",[6204280]
760,"Reassessing earliest Oligocene vertebrate assemblage of Monteviale  Vicenza, Italy   ",[6204280]
761,"Reassessing the earliest Oligocene vertebrate assemblage of Monteviale  Vicenza, Italy",[6204280]
762,How warm was Greenland during the last interglacial period?  How warm was Greenland during the last interglaci,[6228240]
763,CP How warm was Greenland during the last interglacial period?,[6228240]
764,New paper  How warm was Greenland during the last interglacial period?,[6228240]
765,Did you see this new paper - amazing,[6228240]
766,How warm was Greenland during the last interglacial period?,[6228240]
767,How warm was Greenland during the last interglacial period?  NERCpapers,[6228240]
768,Well it appears my newest article is available for download -,[6230704]
769,Yay! My article has now been officially published - Message me for a PDF if you want one,[6230704]
770,Morphometric analysis of graphoglyptid trace fossils in two dimensions  implications for behavioral evolution in,[6230704]
771,Biomarker records of palaeoenvironmental variations in subtropical S  Africa since late pleistocene  ,[6233474]
772,Biomarker records of  palaeoenvironmental variations in subtropical Southern Africa       peatland,[6233474]
773,Biomarker records of  palaeoenvironmental variations in subtropical Southern Africa      peatland,[6233474]
774,"Palaeobiogeography, palaeoecology and  evolution of Lower Ordovician conulariids, with emphasis on S E  Morocco  ",[6245924]
775,"New  Van Iten et al in press  Lower Ordovician conulariids and  Sphenothallus,  w emphasis on the Fezouata Sh  Morocco",[6245924]
776,CP The PRISM4  mid-Piacenzian  palaeoenvironmental reconstruction,[6248551]
777,The PRISM4  mid-Piacenzian  palaeoenvironmental reconstruction,[6248551]
778,The PRISM4  mid-Piacenzian  palaeoenvironmental reconstruction  The PRISM4  mid-Piacenzian  palaeoenvironmenta,[6248551]
779,New paper  The PRISM4  mid-Piacenzian  palaeoenvironmental reconstruction,[6248551]
780,Look! A user-friendly format  Easy reading and  navigation on mobiles on Wiley Online Library  ,[6248736]
781,Beautifully preserved fossil fireworm provides clues for process of phosphatization,[6248736]
782,Biases in soft-tissue phosphatization  preservation of musculature in Cretaceous polychaete Rollinschaeta myoplena,[6248736]
783,Diet and body mass in terrestrial mammals  Seasonality of precipitation explains distribution of frugivory,[6249696]
784,Wondering about the mid-size gap? Check out our last  ETEteam publication     ETEinpress,[6249696]
785,The relationship between diet and  body  mass in  terrestrial  mammals  paleobiology,[6249696]
786,New paper by Silvia Pineda-Munoz and  colleauges on relationship between diet and  body mass in terrestrial mammals,[6249696]
787,New paper from   documents changes in ocean  carbon and   plankton dynamics over the Jurassic-Cretaceous,[6251764]
788,New paper from   documents changes in ocean  carbon and   plankton dynamics over the Jurassic-Cretaceous ,[6251764]
789,Very excited to see more work on the Jurassic/Cretaceous boundary! Prompted by my recent review paper  ?,[6251764]
790,Very excited to see more work on the Jurassic/Cretaceous boundary! Prompted by my recent review paper  ?  paywalled,[6251764]
791,The evolution of the carbon cycle  and lack of carbon isotopic variation  through the JurassicCretaceous boundary,[6251764]
792,The evolution of the carbon cycle  and lack of carbon isotopic variation  through the JurassicCretaceous boundary ,[6251764]
793,C cycle history through JurassicCretaceous boundary  A new global 13C stack  ,[6251764]
794,Latest   export   MISTjournalclub  I heard it's a GREAT paper,[6252041]
795,"Ott et al, JQS  152 +11/-8 varve years between E  Holocene Hsseldalen and  AskjaS tephras   tephratastic  precision",[6257608]
796,"All you ever wanted to know about dodo! by Claessens,   Hume and",[6257639]
797,The impact of an ICME on the Jovian X-ray aurora - Dunn - 2016 - Journal of Geophysical Research  Space Physics,[6262927]
798,The impact of an ICME on the Jovian X-ray aurora  lra  leicester,[6262927]
799,Evolution of hallux in non-avian theropod dinosaurs    - v,[6267117]
800,Evolution of the hallux in non-avian theropod dinosaurs,[6267117]
801,New paper by Keegan Melstrom et al on a juvenile diplodocid dinosaur and  its air sac system,[6267118]
802,"Utah Late Jurassic Juvenile sauropod, shows further evidence of avian style air-sacs    - v",[6267118]
803,Science Evidence Saurpod Dinosaurs Breathed Like Birds Using Air sacks From a Jurassic Juvenile Barosaurus,[6267118]
804,Evidence Saurpod Dinosaurs Breathed Like Birds Using Air sacks From a Jurassic Juvenile Barosaurus,[6267118]
805,A really interesting work about an almost complete juvenile of Barosaurus!,[6267118]
806,A really interesting work about a juvenile of Barosaurus!,[6267118]
807,New paper by Keegan Melstrom et al on a juvenile diplodocid dinosaur and  its air sac system   ,[6267118]
808,Juvenile sauropod  dinosaur from Late Jurassic of Utah  further evidence of  avian style air-sac system,[6267118]
809,A little over a year since   and  I described this baby dinosaur w evidence for a bird-like lung,[6267118]
810,Can't beat baby sauropods!,[6267118]
811,A little over a year since   and  I described this baby dinosaur w evidence for a bird-like lung ht,[6267118]
812,"At long last, the Lower Cretaceous Japanese tritylodont is officially described--named Montirictus",[6267724]
813,New Early Cretaceous tritylodontid from Kuwajima Formation of C  Japan    - v,[6267724]
814,Morphology of Thirioux dodos    - v,[6268570]
815,The Morphology of the Thirioux dodos,[6268570]
816,Provenance and  history of Thirioux dodos    - v,[6268571]
817,Provenance and history of the Thirioux dodos,[6268571]
818,Review of dodo and  its ecosystem  insights from a vertebrate conc Lagersttte in Mauritius    - v,[6268572]
819,"New JVP memoir! All about the extinct dodo, its anatomy and the ecosystem it lived in",[6268572]
820,"New JVP Memoir on the dodo, its anatomy and the island ecosystem that humans destroyed",[6268572]
821,"New JVP memoir! All about the extinct dodo, its anatomy and the ecosystem it lived in  ",[6268572]
822,A review of the dodo and its ecosystem  insights from a vertebrate concentration Lagersttte in Mauritius,[6268572]
823,"New JVP Memoir on the dodo, its anatomy and the island ecosystem that humans destroyed  ",[6268572]
824,"Middle Eocene rodents from E  Pyrenees, N  Spain and  biochronological implications    - v",[6268724]
825,A universal error source in past climate estimates derived from tree rings  A universal error source in past c,[6269791]
826,CP A universal error source in past climate estimates derived from tree rings,[6269791]
827,A universal error source in past climate estimates derived from tree rings,[6269791]
828,New paper  A universal error source in past climate estimates derived from tree rings,[6269791]
829,"""A universal error source in past climate estimates derived from tree rings""",[6269791]
830,"Paging   New paper finds ""A universal error source in past climate estimates derived from tree rings""",[6269791]
831,"Paging   New paper finds ""A universal error source in past climate estimates derived from tree rings"" ",[6269791]
832,Chalicotheriidae from the Lower Miocene of central Japan,[6271458]
833,"Femur of Schizotheriinae from Lower Miocene Formation of Gifu Prefecture, C  Japan    - v",[6271458]
834,Oceanography OS  Effects of surface current/wind interaction in an eddy-rich general ocean circulation simulation,[6273692]
835,OS Effects of surface current/wind interaction in an eddy-rich general ocean circulation simulation of the Baltic,[6273692]
836,Just realized my 1st PhD paper  carbonates in bentonite  is cited 1st time  Awesome!  -,"[4360822,6284463]"
837,"New articulated osteoglossomorph from Late Cretaceous freshwater deposits of Alberta, Canada    - v",[6289476]
838,A new bonytongue fossil  Osteoglossomorpha  straight outta the Cretaceous,[6289476]
839,"New articulated osteoglossomorph from Late Cretaceous freshwater deposits of Alberta, Canada",[6289476]
840,Articulated FW teleosts from 'new' Maastrichtian site in Canada  Important stuff from Murray et al,[6289476]
841,"New Articulated Osteoglossomorph from Late Cretaceous Freshwater Deposits  Maastrichtian  of Alberta, Canada",[6289476]
842,"Nautiloids from the Muschelkalk facies of the Southiberian Triassic  Betic Cordillera, Spain   via","[6290090,6290090]"
843,"Nautiloids from the Muschelkalk facies of the Southiberian Triassic  Betic Cordillera, Spain   via    ",[6290090]
844,"New online  Nautiloids from the Muschelkalk facies of the Southiberian Triassic, Spain",[6290090]
845,new environmental data from Lake Iznik at ancient Nicaea with raw data here at,[6293902]
846,1/2 congrats to   and    on the new paper on Pliocene kogiid whales from N  Carolina and  Florida!,[6302726]
847,2/2 New pub  Pliocene kogiid sperm whales from N  Car  and  Florida,[6302726]
848,Always good to see a little love for our East Coast fossils! Check out this great paper on pygmy sperm whales!,[6302726]
849,1/2 congrats to   and    on the new paper on Pliocene kogiid whales from N  Carolina and  Florida! ,[6302726]
850,2/2 New pub  Pliocene kogiid sperm whales from N  Car  and  Florida   ,[6302726]
851,Pygmy sperm whales from Pliocene of Florida and  N  Carolina    - v,[6302726]
852,These are some of the Pliocene kogiid periotics we used in our new study  FossilFriday 1/4,[6302726]
853,Our new paper on the Pliocene pygmy sperm whales from FL and  NC is out!,[6302726]
854,These are some of the Pliocene kogiid periotics we used in our new study  FossilFriday 1/4 ,[6302726]
855,OS Transition to El Nio conditions in the eastern tropical Pacific in October 2015,[6312927]
856,Oceanography OS  Transition to El Nio conditions in the eastern tropical Pacific in October 2015,[6312927]
857,New species of Velocisaurusunicus  digthepast,[6313873]
858,"A new specimen of Velocisaurus unicus  Theropoda, Abelisauroidea",[6313873]
859,"New specimen ofVelocisaurus unicus from Ro Negro, Argentina    - v",[6313873]
860,New species of lungfishCeratodus from E  Cretaceous of E  US    - v,[6315736]
861,A new species of the lungfish Ceratodus  Dipnoi  from the Early Cretaceous of the eastern U S A,[6315736]
862,"The Dart deposits of the Buxton Limeworks, Taung, South Africa, and the context of the taung Australopithecus fossil",[6323697]
863,"Crassodontidanidae, a replacement name for Crassonotidae    - v",[6325518]
864,Minimum winter temperature reconstruction from average earlywood vessel area of European oak in N-Poland,[6335585]
865,1st Permian occurrence of shark egg capsule morphotypePalaeoxyris    - v,[6340440]
866,A statistical study of whistler waves observed by Van Allen Probes and  lightning detected by WWLLN JGR  Space Physics,[6368215]
867,"A statistical study of whistler waves observed by Van Allen Probes  RBSP  and  lightning detected by WWLLN, Zheng, JGR,",[6368215]
868,"New paper finds the 11-year solar cycle significantly affects atmospheric temperatures, circulation, and  gravity waves",[6368369]
869,"New paper finds the 11-year solar cycle significantly affects atmospheric temperatures, circulation, and  gravity waves ht",[6368369]
870,The 11-Year Solar Cycle Signature on Wave-Driven Dynamics in the Whole Atmospheric Community Climate Model  WACCM,[6368369]
871,New Carboniferous acorn worm expands scant fossil record and  reflects habits of living species,[6375030]
872,"Saccoglossus rapid retraction, chemical defense, aposomatic colors are likely Carboniferous",[6375030]
873,New Carboniferous acorn worm expands scant fossil record and  reflects habits of living species ,[6375030]
874,"Saccoglossus rapid retraction, chemical defense, aposomatic colors are likely Carboniferous  ",[6375030]
875,Saccoglossus testa from the Mazon Creek  Pennsylvanian of Illinois  and the evolution of acorn worms  Hemichordata,[6375030]
876,Extreme flood events reconstruction during the last century in the El Bibane lagoon  Southeast of Tunisia   A,[6386114]
877,New paper  Extreme flood events reconstruction during the last century in the El Bibane lagoon  Southeast of T,[6386114]
878,CP Extreme flood events reconstruction during the last century in the El Bibane lagoon  Southeast of Tunisia   A ,[6386114]
879,"Research suggests that mosasaurs were not gigantotherms, but proper endotherms!",[6420679]
880,Were mosasaurs  giant marine predatory lizards  endothermic? Neat new research here,[6420679]
881,Warm-blooded sea monsters! New research suggests that mosasaurs were true endotherms,[6420679]
882,Warm-blooded sea monsters! New research suggests that mosasaurs were true endotherms   science,[6420679]
883,Science Warm-blooded sea monsters! New research suggests that mosasaurs were true endotherms,[6420679]
884,Warm-blooded sea monsters! New research suggests that mosasaurs were true endotherms   sci,[6420679]
885,Endothermic mosasaurs?,[6420679]
886,Warm blooded mosasaurs?  Oxygen isotope analysis suggests they were  FossilFriday,[6420679]
887,Endothermic dinosaurs!,[6420679]
888,Endothermic mosasaurs? Possible thermoregulation of Late Cretaceous mo,"[6420679,6420679]"
889,"Possible thermoregulation of late cretaceous Mosasaurs  Harrel et al , 2016",[6420679]
890,Mosasaurs might've been warm-blooded?!  how cool!  notphysanth,[6420679]
891,"Melanosomes allow us to infer the colour of fossil species, but what role does sulfur have in its preservation?",[6420849]
892,Hey   have you seen this  and do you have comments on it?,[6420849]
893,What colour was my fossil? Sulfurization key to preservation of melanosomes   FossilFriday,[6420849]
894,Fossilization of melanosomes via sulfurization  openaccess,[6420849]
895,Fossilization of melanosomes via sulfurization,[6420849]
896,OS Jason continuity of services  continuing the Jason altimeter data records as Copernicus Sentinel-6,[6423227]
897,Oceanography OS  Jason continuity of services  continuing the Jason altimeter data records as Copernicus Sentinel,[6423227]
898,"RUGeology  RUEBRU Miocene climate and vegetation changes in the Cape Peninsula, South Africa  Evidence from  cont",[6423300]
899,"RUGeography  RUGeology Miocene climate and vegetation changes in the Cape Peninsula, South Africa  Evidence",[6423300]
900,"RUGeography  RUGeology Miocene climate and vegetation changes in the Cape Peninsula, South Africa  Evidence    ",[6423300]
901,"RUGeology  RUEBRU Miocene climate and vegetation changes in the Cape Peninsula, South Africa  Evidence from  cont   ht",[6423300]
902,OS Compensation between meridional flow components  of the Atlantic MOC at  26N,[6423828]
903,Oceanography OS  Compensation between meridional flow components  of the Atlantic MOC at  26N,[6423828]
904,Compensation between meridional flow components of the Atlantic MOC at 26 N  NERCpapers,[6423828]
905,"New archosaur and  other tetrapod footprints from U  Triassic of W  High Atlas, Morocco  Ichnotaxonomy  ",[6438689]
906,Bivalves on mecochirid lobsters from Aptian of Isle of Wight  Snapshot on an E  Cretaceous palaeosymbiosis  ,[6438690]
907,Bivalves on mecochirid lobsters from the Aptian of the Isle of Wight  Snapshot on a Cretaceous palaeosymbiosis,[6438690]
908,Conodonts from Moroccan Lower Ordovician  Age and  fauna of Fezouata Lagersttte and  peri-Gondwana biogeography  ,[6452176]
909,IGEOinvestiga Conodonts from the Lower Ordovician of Morocco  Contributions to age and faunal diversity of the,[6452176]
910,Sea level controls on coral atoll shape Toomey   P3  j,[6466395]
911,OS Wind changes above warm Agulhas Current eddies,[6480918]
912,Oceanography OS  Wind changes above warm Agulhas Current eddies,[6480918]
913,The fossil record of competition in marine encrusting organisms  New  OA study in  Palaeontology by,[6484260]
914,New  openaccess paper  Taylor in press  Competition between encrusters on marine hard substrates and  its fossil record,[6484260]
915,New  openaccess paper  Taylor in press  Competition between encrusters on marine hard substrates and  its fossil record ,[6484260]
916,Competition between encrusters on marine hard substrates and its fossi,"[6484260,6484260]"
917,Look! A user-friendly format  Easy reading and  navigation on mobiles on Wiley Online Library,[6484260]
918,Marine fossil encrusters provide evidence of spatial competition,[6484260]
919,Competition between encrusters on marine hard substrates and its fossil record,[6484260]
920,How better to enthuse my undergrads about bryozoans than with one of my favourite recent review papers?,[6484260]
921,"Paleoecology of Noeggerathiales, an enigmatic, extinct plant group of Carboniferous and Permian times",[6484632]
922,"Palaeoecological effects of back-arc spreading on Miocene benthic communities, SW Japan Arc  ",[6491535]
923,CP Chemical composition of soluble and insoluble particles around the last termination preserved in the Dome C ic,[6491812]
924,Chemical composition of soluble and insoluble particles around the last termination preserved in the Dome C ice,[6491812]
925,New paper  Chemical composition of soluble and insoluble particles around the last termination preserved in th,[6491812]
926,"CP Summer-temperature evolution on the Kamchatka Peninsula, Russian Far East, during the past 20,000 years",[6491813]
927,"Summer-temperature evolution on the Kamchatka Peninsula, Russian Far East, during the past 20,000 years",[6491813]
928,"Summer-temperature evolution on the Kamchatka Peninsula, Russian Far East, during the past 20,000 years  Summe",[6491813]
929,"New paper  Summer-temperature evolution on the Kamchatka Peninsula, Russian Far East, during the past 20,000 years",[6491813]
930,"New paper finds another non-hockey-stick in NW Pacific Ocean, cooling over past 10,000 years",[6491813]
931,"New paper finds another non-hockey-stick in NW Pacific Ocean, cooling over past 10,000 years ht",[6491813]
932,"CP Wind regimes during the Last Glacial Maximum and early Holocene  evidence from Little Llangothlin Lagoon, New ",[6492703]
933,"Wind regimes during the Last Glacial Maximum and early Holocene  evidence from Little Llangothlin Lagoon, New",[6492703]
934,New paper  Wind regimes during the Last Glacial Maximum and early Holocene  evidence from Little Llangothlin L,[6492703]
935,OS Turbulent heat transfer as a control of platelet ice growth in supercooled under-ice ocean boundary layers,[6498517]
936,Oceanography OS  Turbulent heat transfer as a control of platelet ice growth in supercooled under-ice ocean bound,[6498517]
937,New paper out on heat transfer under  seaice,[6498517]
938,End-Triassic Iridium rises gradually along with carbon cycle change - LIP Ir origin? via,[6498833]
939,"Late Pleistocene to Holocene climate and limnological changes at Lake Karakul  Pamir Mountains, Tajikistan",[6512624]
940,"CP Late Pleistocene to Holocene climate and limnological changes at Lake Karakul  Pamir Mountains, Tajikistan",[6512624]
941,"Late Pleistocene to Holocene climate and limnological changes at Lake Karakul  Pamir Mountains, Tajikistan   L",[6512624]
942,"New paper  Late Pleistocene to Holocene climate and limnological changes at Lake Karakul  Pamir Mountains, Taj",[6512624]
943,OS Observed and simulated full-depth ocean heat content changes for 19702005,[6552808]
944,Oceanography OS  Observed and simulated full-depth ocean heat content changes for 19702005,[6552808]
945,"Oceanography OS  Tidal elevation, current, and energy flux in the area between the South China Sea and Java Sea",[6556241]
946,"OS Tidal elevation, current, and energy flux in the area between the South China Sea and Java Sea",[6556241]
947,"OS Tidal elevation, current, and energy flux in the area between the South China Sea and Java",[6556241]
948,Glacial dropstones in W  Tethys during late Aptian-E  Albian  M  Cretaceous Palaeoclimate and  palaeogeography  ,[6556562]
949,Effect of progressive dissolution on O and  Si isotope comp of opal-A phytoliths  ,[6574725]
950,The effect of dissolution on oxygen and silicon isotope composition of phytoliths  reconstruction - new in PPP,[6574725]
951,Moss 13C  Implications for subantarctic palaeohydrological reconstructions  ,[6574728]
952,"Moss 13C  Implications for subantarctic palaeohydrological reconstructions  Bramley-Alves et al , P3",[6574728]
953,Moss 13C  Implications for subantarctic palaeohydrological reconstructions,[6574728]
954,1st clear evidence that Archaeozostera is not an ancestor of Zosteracean sea-grass but a trace fossil  ,[6596362]
955,Prediction of offspring in extant and extinct mammals to add light on paleoecology and evolution  ,[6603211]
956,C isotopic excursions and  ammonoid and  conodont biostratigraphies around Smithian-Spathian boundary in Vietnam  ,[6603212]
957,if you care about magnetospheric mass density like me     MISTjournalclub,[6611005]
958,Spring temperature variability over Turkey since 1800 CE reconstructed from a broad network of tree-ring data,[6611564]
959,CP Spring temperature variability over Turkey since 1800 CE reconstructed from a broad network of tree-ring data,[6611564]
960,New paper  Spring temperature variability over Turkey since 1800 CE reconstructed from a broad network of tree,[6611564]
961,New online  A new Permian temnospondyl with Russian affinities from South America,[6612668]
962,"New Permian temnospondyl with Russian ties from S  America, Konzhukoviidae fam nov  and  Archegosauroidea phylogeny  ",[6612668]
963,FossilFriday Partial skull of a new Permian temnospondyl from Brazil,[6612668]
964,Epiphyllous fungi and  leaf physiognomy shows an ever-wet humid mesothermal climate in Eocene of S  New Zealand  ,[6621716]
965,"Biogeochemistry and  response to climate change from isotopes of lacustrine organic matter, S E  Tibet, China  ",[6621717]
966,First of several papers on burnetiamorph therapsids from  Permian of  Zambia out in JVP    Congrats,[6623292]
967,First of several papers on burnetiamorph therapsids from  Permian of  Zambia out in JVP    Cong,[6623292]
968,Check it out! Our paper describing a  Permian burnetiamorph therapsid   respectyourelders  is out in JVP,[6623292]
969,New therapsid from Permian Madumabisa Mudstone Formation  Mid-Zambezi Basin  of S  Zambia    - v,[6623292]
970,"Lontra weiri, sp  nov , a Pliocene river otter from Hagerman Fossil Beds, Idaho, U S A     - v",[6623293]
971,FossilFriday A new Pliocene otter from Idaho named after Grateful Dead guitarist Bob Weir,[6623293]
972,"OS Seasonal hydrography and surface outflow in a fjord with a deep sill  the Reloncav fjord, Chile",[6623958]
973,"Oceanography OS  Seasonal hydrography and surface outflow in a fjord with a deep sill  the Reloncav fjord, Chile",[6623958]
974,"Say hello to Apatoraptor pennatus, gen  et sp  nov  Oviraptosauria",[6637509]
975,Apatoraptor sounds like the name of the new hybrid for  jurassicworld,[6637509]
976,New caenagnathid from the Horseshoe Canyon Formation of Alberta and  relationships of Caenagnathidae,"[6637509,6637509]"
977,"New caenagnathid from Alberta, Canada, and  a reevaluation of relationships of Caenagnathidae    - v",[6637509]
978,New oviraptorosaur Apatoraptor pennatus   dinosaurs,[6637509]
979,Are you ready for ULTIMATE EOCENE CHONDRICHTHYANS?,[6638621]
980,"Ultimate Eocene  Priabonian  chondrichthyans  Holocephali, Elasmobranchii  of Antarctica",[6638621]
981,"Ultimate Eocene  Priabonian  chondrichthyans  Holocephali, Elasmobranchii  of Antarctica    - v",[6638621]
982,The researchers found remains from the last sharks in  Antarctica   FieldworkFriday,[6638621]
983,"Ultimate Eocene  Priabonian  Chondrichthyans  Holocephali, Elasmobranchii  of Antarctica",[6638621]
984,locomotion in the earliest frog,[6640615]
985,Oceanography OS  Biased thermohaline exchanges with the Arctic across the IcelandFaroe Ridge in ocean climate mo,[6641421]
986,OS Biased thermohaline exchanges with the Arctic across the IcelandFaroe Ridge in ocean climate models,[6641421]
987,"Palaeo-sea-level and palaeo-ice-sheet databases  problems, strategies, and perspectives  NERCpapers",[6692998]
988,Revisiting LGM climate over China and East Asian monsoon using PMIP3 simulations  ,[6726865]
989,CP Sea ice led to poleward-shifted winds at the Last Glacial Maximum  the influence of state dependency on CMIP5 ,[6729141]
990,Sea ice led to poleward-shifted winds at the Last Glacial Maximum  the influence of state dependency on CMIP5 and,[6729141]
991,New paper  Sea ice led to poleward-shifted winds at the Last Glacial Maximum  the influence of state dependenc,[6729141]
992,"New paper in PPP  Vinn, O  In press  Symbiotic endobionts in Paleozoic stromatoporoids",[6749708]
993,Symbiotic endobionts in Paleozoic stromatoporoids/ ,[6749708]
994,Symbiotic endobionts in Paleozoic stromatoporoids,[6749708]
995,Echinoids from E  Miocene of Sardinia and  reconstructing depositional environments along a shelf gradient  ,[6753115]
996,Predation scars in chemosymbiotic bivalves at an Oligocene seep deposit and  their relation to S tolerances  ,[6753118]
